resena,sentimiento
La batería de este teléfono es excelente y dura todo el día.,positivo
"El envío fue muy lento, estoy decepcionado.",negativo
"Buen producto, cumple con lo que promete.",positivo
"La calidad de la pantalla no es la mejor, esperaba más.",negativo
El servicio al cliente fue maravilloso.,positivo
"No me gustó el color, se ve diferente a la imagen.",negativo
El precio es muy accesible para la calidad ofrecida.,positivo
"La conexión Wi-Fi falla constantemente, muy frustrante.",negativo
Muy fácil de usar y configurar.,positivo
El empaque llegó dañado aunque el producto estaba bien.,negativo
